id,title,url,path,primaryartist_id,primaryartist_name
2831379,Missile Hostilities (Hood Politics Remix),https://genius.com/Aymen-missile-hostilities-hood-politics-remix-lyrics,/Aymen-missile-hostilities-hood-politics-remix-lyrics,40046,AYMEN
156760,Run,https://genius.com/G-eazy-run-lyrics,/G-eazy-run-lyrics,11395,G-Eazy
3920571,Canceled,https://genius.com/Bryson-tiller-canceled-lyrics,/Bryson-tiller-canceled-lyrics,264368,Bryson Tiller
25823,Kane & Abel,https://genius.com/Kane-and-abel-kane-and-abel-lyrics,/Kane-and-abel-kane-and-abel-lyrics,357182,Kane & Abel
2494629,Wii Music Fire,https://genius.com/Quadeca-wii-music-fire-lyrics,/Quadeca-wii-music-fire-lyrics,683879,Quadeca
97750,I Am Who I Am,https://genius.com/Dee-1-i-am-who-i-am-lyrics,/Dee-1-i-am-who-i-am-lyrics,1924,Dee-1
5109,Mr. Pigface,https://genius.com/Crooked-i-mr-pigface-lyrics,/Crooked-i-mr-pigface-lyrics,263426,Crooked I
192054,Rikky Riley vs Shuffle T,https://genius.com/Dont-flop-rikky-riley-vs-shuffle-t-lyrics,/Dont-flop-rikky-riley-vs-shuffle-t-lyrics,28341,Don't Flop
2880990,Saduccess,https://genius.com/Marzwiley-saduccess-lyrics,/Marzwiley-saduccess-lyrics,1015800,MarzWiley
27216,Live On The Mic,https://genius.com/Kurupt-live-on-the-mic-lyrics,/Kurupt-live-on-the-mic-lyrics,170,Kurupt
